language,word,translation,family_1l,family_2l
ABAZA,I,-S-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,blood,-SH-,NWC,NORTHWEST_CAUCASIAN
ABAZA,bone,-B-KH-W-,NWC,NORTHWEST_CAUCASIAN
ABAZA,breast,-G-W-CH-P-,NWC,NORTHWEST_CAUCASIAN
ABAZA,die,-P-S-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,dog,-L-,NWC,NORTHWEST_CAUCASIAN
ABAZA,drink,-ZH-W-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,ear,-L-M-H-,NWC,NORTHWEST_CAUCASIAN
ABAZA,eye,-L-,NWC,NORTHWEST_CAUCASIAN
ABAZA,fire,-M-C-,NWC,NORTHWEST_CAUCASIAN
ABAZA,full,-Z-N-T-,NWC,NORTHWEST_CAUCASIAN
ABAZA,hand,-N-P-,NWC,NORTHWEST_CAUCASIAN
ABAZA,hear,-KH-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,horn,-CH-W-KH-W-,NWC,NORTHWEST_CAUCASIAN
ABAZA,knee,-SH-M-K-,NWC,NORTHWEST_CAUCASIAN
ABAZA,leaf,-B-KH-,NWC,NORTHWEST_CAUCASIAN
ABAZA,louse,-C-,NWC,NORTHWEST_CAUCASIAN
ABAZA,name,-KH-Z-,NWC,NORTHWEST_CAUCASIAN
ABAZA,new,-SH-C-,NWC,NORTHWEST_CAUCASIAN
ABAZA,night,-W-K-,NWC,NORTHWEST_CAUCASIAN
ABAZA,nose,-P-N-C-,NWC,NORTHWEST_CAUCASIAN
ABAZA,one,-Z-K-,NWC,NORTHWEST_CAUCASIAN
ABAZA,see,-B-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,skin,-CH-W-Z-,NWC,NORTHWEST_CAUCASIAN
ABAZA,star,-J-CH-W-,NWC,NORTHWEST_CAUCASIAN
ABAZA,sun,-M-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,tongue,-B-Z-,NWC,NORTHWEST_CAUCASIAN
ABAZA,tooth,-P-C-,NWC,NORTHWEST_CAUCASIAN
ABAZA,tree,-C-L-,NWC,NORTHWEST_CAUCASIAN
ABAZA,two,-KH-W-B-,NWC,NORTHWEST_CAUCASIAN
ABAZA,water,-C-,NWC,NORTHWEST_CAUCASIAN
ABAZA,we,-SH-W-R-,NWC,NORTHWEST_CAUCASIAN
ABAZA,you,-W-R-,NWC,NORTHWEST_CAUCASIAN
ABIRPARA_MAHALI,I,-N-,AuA,MUNDA
ABIRPARA_MAHALI,blood,-M-J-M-,AuA,MUNDA
ABIRPARA_MAHALI,bone,-ZH-N-,AuA,MUNDA
